alpha,beta,gamma,min_chamfer_distance,max_chamfer_distance
0,0.25,0.3,0.010974673392047407,0.10179650963982567
0,0.25,0.6,0.010974673392047407,0.10179650963982567
0,0.25,0.9,0.010974673392047407,0.10179650963982567
0,0.5,0.3,0.010974673392047407,0.10179650963982567
0,0.5,0.6,0.010974673392047407,0.10179650963982567
0,0.5,0.9,0.010974673392047407,0.10179650963982567
0,0.75,0.3,0.010974673392047407,0.10179650963982567
0,0.75,0.6,0.010974673392047407,0.10179650963982567
0,0.75,0.9,0.010974673392047407,0.10179650963982567
0.25,0.25,0.3,0.011055862137800432,0.10120997446356342
0.25,0.25,0.6,0.011055862137800432,0.10120997446356342
0.25,0.25,0.9,0.011055862137800432,0.10120997446356342
0.25,0.5,0.3,0.011055862137800432,0.10137031696503981
0.25,0.5,0.6,0.011055862137800432,0.10137031696503981
0.25,0.5,0.9,0.011055862137800432,0.10137031696503981
0.25,0.75,0.3,0.011055862137800432,0.10234168836614117
0.25,0.75,0.6,0.011055862137800432,0.10234168836614117
0.25,0.75,0.9,0.011055862137800432,0.10234168836614117
0.5,0.25,0.3,0.011055862137800432,0.10120997446356342
0.5,0.25,0.6,0.011055862137800432,0.10120997446356342
0.5,0.25,0.9,0.011055862137800432,0.10120997446356342
0.5,0.5,0.3,0.011055862137800432,0.10120997446356342
0.5,0.5,0.6,0.011055862137800432,0.10120997446356342
0.5,0.5,0.9,0.011055862137800432,0.10120997446356342
0.5,0.75,0.3,0.011055862137800432,0.10120997446356342
0.5,0.75,0.6,0.011055862137800432,0.10120997446356342
0.5,0.75,0.9,0.011055862137800432,0.10120997446356342
0.75,0.25,0.3,0.011545416331136949,0.10120997446356342
0.75,0.25,0.6,0.011545416331136949,0.10120997446356342
0.75,0.25,0.9,0.011545416331136949,0.10120997446356342
0.75,0.5,0.3,0.011055862137800432,0.10120997446356342
0.75,0.5,0.6,0.011055862137800432,0.10120997446356342
0.75,0.5,0.9,0.011055862137800432,0.10120997446356342
0.75,0.75,0.3,0.011055862137800432,0.10120997446356342
0.75,0.75,0.6,0.011055862137800432,0.10120997446356342
0.75,0.75,0.9,0.011055862137800432,0.10120997446356342
